State,Latitude,Longitude,Total Cases,Deaths,Recoveries,Active Cases
Andhra Pradesh,15.91,79.74,14595,187,6511,7897
Arunachal Pradesh,28.21,94.72,191,1,62,128
Assam,26.2,92.93,8227,12,5647,2568
Bihar,25.09,85.31,10043,67,7687,2289
Chhattisgarh,21.27,81.86,2860,13,2250,597
Goa,15.29,74.12,1315,3,596,716
Gujarat,22.25,71.19,32557,1846,23662,7049
Haryana,29.05,76.08,14548,236,9972,4340
Himachal Pradesh,31.1,77.17,953,10,580,363
Ladakh,34.21,77.62,973,1,648,324
Jharkhand,23.61,85.27,2490,15,1884,591
Karnataka,15.31,75.71,15242,246,7918,7078
Kerala,10.85,76.27,4442,24,2306,2112
Madhya Pradesh,22.97,78.65,13593,572,10395,2626
Maharashtra,19.75,75.71,174761,7855,90911,75995
Manipur,24.66,93.9,1234,0,553,681
Meghalaya,25.46,91.36,52,1,42,9
Mizoram,23.16,92.93,160,0,122,38
Nagaland,26.15,94.56,459,0,168,291
Odisha,20.95,85.09,7065,25,5189,1851
Punjab,31.14,75.34,5568,144,3867,1557
Rajasthan,27.02,74.21,18014,413,14220,3381
Sikkim,27.53,88.51,89,0,52,37
Tamil Nadu,11.12,78.65,90167,1201,50074,38892
Tripura,23.94,91.98,1388,1,1086,301
Uttarakhand,30.06,79.01,2881,41,2231,609
Uttar Pradesh,26.84,80.94,23492,697,16084,6711
West Bengal,22.98,87.85,18559,668,12130,5761
Andaman and Nicobar Islands,11.62,92.73,97,0,50,47
Lakshadweep,10.56,72.64,0,0,0,0
Chandigarh,30.73,76.78,440,6,364,70
Delhi,28.7,77.1,87360,2742,58348,26270
Dadra and Nagar Haveli and Daman and Diu,20.18,73.02,213,0,82,131
Puducherry,11.94,79.81,714,12,272,430
Telangana,18.11,79.02,16339,260,7294,8785
Jammu and Kashmir,34.08,74.8,7497,101,4722,2674
